,Rank,County,Population
0,1,Los Angeles ,9721138
1,2,San Diego ,3276208
2,3,Orange ,3151184
3,4,Riverside ,2473902
4,5,San Bernardino ,2193656
5,6,Santa Clara ,1870945
6,7,Alameda ,1628997
7,8,Sacramento ,1584169
8,9,Contra Costa ,1156966
9,10,Fresno ,1015190
10,11,Kern ,916108
11,12,Ventura ,832605
12,13,San Francisco ,808437
13,14,San Joaquin ,793229
14,15,San Mateo ,729181
15,16,Stanislaus ,551275
16,17,Sonoma ,482650
17,18,Tulare ,477544
18,19,Solano ,448747
19,20,Santa Barbara ,443837
20,21,Monterey ,432858
21,22,Placer ,417772
22,23,Merced ,290014
23,24,San Luis Obispo ,282013
24,25,Santa Cruz ,264370
25,26,Marin ,256018
26,27,Yolo ,222115
27,28,Butte ,207303
28,29,El Dorado ,192646
29,30,Shasta ,180930
30,31,Imperial ,178713
31,32,Madera ,160256
32,33,Kings ,152981
33,34,Humboldt ,135010
34,35,Napa ,134300
35,36,Nevada ,102293
36,37,Sutter ,98503
37,38,Mendocino ,89783
38,39,Yuba ,84310
39,40,Lake ,68191
40,41,San Benito ,67579
41,42,Tehama ,65245
42,43,Tuolumne ,54531
43,44,Calaveras ,46563
44,45,Siskiyou ,43660
45,46,Amador ,41412
46,47,Lassen ,29904
47,48,Glenn ,28339
48,49,Del Norte ,27082
49,50,Colusa ,21914
50,51,Plumas ,19351
51,52,Inyo ,18718
52,53,Mariposa ,17020
53,54,Trinity ,15781
54,55,Mono ,12978
55,56,Modoc ,8511
56,57,Sierra ,3217
57,58,Alpine ,1190
