,Rank,Area,County,Population
1,1,5267.97 ,Okanogan   ,41241
2,2,4295.39 ,Yakima   ,246402
3,3,2920.52 ,Chelan   ,73664
4,4,2679.51 ,Grant   ,91458
5,5,2477.76 ,Stevens   ,43541
6,6,2402.80 ,Lewis   ,75382
7,7,2310.49 ,Lincoln   ,10409
8,8,2297.27 ,Kittitas   ,41705
9,9,2203.16 ,Ferry   ,7657
10,10,2159.09 ,Whitman   ,46003
11,11,2115.56 ,King   ,2008997
12,12,2106.86 ,Whatcom   ,204855
13,13,2087.27 ,Snohomish   ,735351
14,14,1924.98 ,Adams   ,18951
15,15,1902.03 ,Grays Harbor   ,71734
16,16,1871.31 ,Klickitat   ,20668
17,17,1819.26 ,Douglas   ,39183
18,18,1803.70 ,Jefferson   ,29978
19,19,1763.79 ,Spokane   ,476950
20,20,1738.33 ,Clallam   ,72024
21,21,1731.20 ,Skagit   ,118364
22,22,1700.38 ,Benton   ,182053
23,23,1669.51 ,Pierce   ,812689
24,24,1655.68 ,Skamania   ,11194
25,25,1399.99 ,Pend Oreille   ,12965
26,26,1270.13 ,Walla Walla   ,59476
27,27,1242.17 ,Franklin   ,84508
28,28,1140.12 ,Cowlitz   ,102072
29,29,959.42 ,Mason   ,60728
30,30,932.66 ,Pacific   ,20665
31,31,868.63 ,Columbia   ,4031
32,32,721.96 ,Thurston   ,259330
33,33,710.69 ,Garfield   ,2240
34,34,636.21 ,Asotin   ,21955
35,35,629.00 ,Clark   ,438272
36,36,394.94 ,Kitsap   ,253614
37,37,263.38 ,Wahkiakum   ,4016
38,38,208.45 ,Island   ,78951
39,39,173.91 ,San Juan   ,15847
